index,prim:vindex,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0:0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0:1,1,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.0,0.0
2,0:2,7,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.07142857142857142,0.0
3,0:3,6,0.0,1.0,0.0,0.0,0.07142857142857142,0.0
4,1:0,1,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.0,0.0
5,1:1,2,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.0,0.0
6,1:2,8,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.07142857142857142,0.0
7,1:3,7,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.07142857142857142,0.0
8,2:0,2,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.0,0.0
9,2:1,3,0.0,-1.0,-1.2246467991473532e-16,0.5,0.0,0.0
10,2:2,9,0.0,-1.0,-1.2246467991473532e-16,0.5,0.07142857142857142,0.0
11,2:3,8,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.07142857142857142,0.0
12,3:0,3,0.0,-1.0,-1.2246467991473532e-16,0.5,0.0,0.0
13,3:1,4,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.0,0.0
14,3:2,10,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.07142857142857142,0.0
15,3:3,9,0.0,-1.0,-1.2246467991473532e-16,0.5,0.07142857142857142,0.0
16,4:0,4,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.0,0.0
17,4:1,5,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.0,0.0
18,4:2,11,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.07142857142857142,0.0
19,4:3,10,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.07142857142857142,0.0
20,5:0,5,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.0,0.0
21,5:1,0,0.0,1.0,0.0,1.0,0.0,0.0
22,5:2,6,0.0,1.0,0.0,1.0,0.07142857142857142,0.0
23,5:3,11,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.07142857142857142,0.0
24,6:0,6,0.0,1.0,0.0,0.0,0.07142857142857142,0.0
25,6:1,7,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.07142857142857142,0.0
26,6:2,13,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.14285714285714285,0.0
27,6:3,12,0.0,1.0,0.0,0.0,0.14285714285714285,0.0
28,7:0,7,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.07142857142857142,0.0
29,7:1,8,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.07142857142857142,0.0
30,7:2,14,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.14285714285714285,0.0
31,7:3,13,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.14285714285714285,0.0
32,8:0,8,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.07142857142857142,0.0
33,8:1,9,0.0,-1.0,-1.2246467991473532e-16,0.5,0.07142857142857142,0.0
34,8:2,15,0.0,-1.0,-1.2246467991473532e-16,0.5,0.14285714285714285,0.0
35,8:3,14,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.14285714285714285,0.0
36,9:0,9,0.0,-1.0,-1.2246467991473532e-16,0.5,0.07142857142857142,0.0
37,9:1,10,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.07142857142857142,0.0
38,9:2,16,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.14285714285714285,0.0
39,9:3,15,0.0,-1.0,-1.2246467991473532e-16,0.5,0.14285714285714285,0.0
40,10:0,10,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.07142857142857142,0.0
41,10:1,11,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.07142857142857142,0.0
42,10:2,17,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.14285714285714285,0.0
43,10:3,16,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.14285714285714285,0.0
44,11:0,11,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.07142857142857142,0.0
45,11:1,6,0.0,1.0,0.0,1.0,0.07142857142857142,0.0
46,11:2,12,0.0,1.0,0.0,1.0,0.14285714285714285,0.0
47,11:3,17,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.14285714285714285,0.0
48,12:0,12,0.0,1.0,0.0,0.0,0.14285714285714285,0.0
49,12:1,13,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.14285714285714285,0.0
50,12:2,19,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.21428571428571427,0.0
51,12:3,18,0.0,1.0,0.0,0.0,0.21428571428571427,0.0
52,13:0,13,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.14285714285714285,0.0
